"Gross domestic product (GDP) at basic prices, by industry, monthly (x 1,000,000) 1 2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frequency: Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table: 36-10-0434-01 (formerly CANSIM 379-0031),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Release date: 2023-12-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geography: Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seasonal adjustment,Seasonally adjusted at annual rates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prices,Chained (2017) dollars 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geography,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North American Industry Classification System (NAICS),Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23,Oct-23
Energy sector  [T016] 4,"143,128","143,335","145,125","151,370","150,670","150,338","146,601","146,897","147,236","148,093","146,720","149,395","149,447","151,571","147,733","138,128","135,799","130,365","130,873","127,866","130,083","134,185","136,713","138,725","139,753","140,385","139,757","137,182","139,370","143,156","142,367","144,447","144,699","146,024","143,838","145,194","147,728","147,630","147,381","149,538","148,540","148,715","149,948","152,119","152,750","149,789","149,489","147,457","147,423","149,648","151,429","152,635","149,450","150,466","151,361","149,077","147,540","148,117"
Industrial production (1950 definition)  [T017] 4,"364,352","363,929","368,533","374,948","376,167","372,870","367,326","367,345","367,276","366,533","364,299","365,050","362,902","367,601","345,765","291,005","310,230","328,187","340,701","343,049","346,434","348,006","354,199","356,921","360,334","355,583","359,082","352,026","351,668","357,942","357,349","359,469","356,709","364,228","362,629","365,029","368,499","369,761","372,612","374,038","372,929","375,955","373,754","374,996","376,141","370,759","371,112","367,176","370,176","373,041","374,729","373,831","374,545","373,777","372,849","371,107","371,486","371,064"
Public Sector  [T018] 4,"418,482","418,729","419,473","419,782","420,068","420,636","422,133","422,839","422,968","424,208","424,986","426,840","427,611","428,777","400,814","374,363","386,762","400,322","412,423","417,886","421,477","424,445","425,745","427,803","429,306","430,935","435,198","431,387","434,951","437,986","440,509","440,703","442,817","441,911","442,706","443,379","441,828","443,803","443,866","444,388","446,045","447,535","448,577","449,169","450,079","451,915","453,334","454,345","455,697","457,457","458,608","456,569","459,581","460,690","461,965","463,299","464,284","465,431"
Content and media sector  [T019] 4,"14,275","14,144","14,132","14,261","14,324","14,478","14,339","14,370","14,383","14,441","14,543","14,642","14,318","14,471","12,022","9,373","9,680","10,547","11,469","12,957","13,082","13,164","13,017","13,056","13,033","12,973","13,209","13,057","13,280","13,341","13,640","14,308","13,909","13,868","13,764","14,014","13,833","14,292","13,964","13,950","14,112","13,974","13,858","14,007","14,107","14,025","13,999","13,783","13,804","13,914","13,776","13,757","13,648","13,436","13,090","12,795","12,569","12,345"
All industries (except cannabis sector)  [T020] 4,"2,062,364","2,056,988","2,068,549","2,081,060","2,086,564","2,090,460","2,091,147","2,091,244","2,092,241","2,092,593","2,092,628","2,103,554","2,107,760","2,111,928","1,953,277","1,743,276","1,822,862","1,929,266","1,979,247","1,998,627","2,017,693","2,029,264","2,043,207","2,046,513","2,055,650","2,059,633","2,082,222","2,060,896","2,051,860","2,069,641","2,082,493","2,098,824","2,105,122","2,120,506","2,130,019","2,133,302","2,131,248","2,147,417","2,162,158","2,160,741","2,166,729","2,172,270","2,173,947","2,180,546","2,184,945","2,181,126","2,181,404","2,175,401","2,190,544","2,195,441","2,198,509","2,197,376","2,203,994","2,200,268","2,198,677","2,198,776","2,199,708","2,200,424"
Cannabis sector  [T021] 4,"5,112","4,950","5,210","5,621","5,914","6,002","6,241","6,278","6,273","7,238","6,711","6,270","6,446","6,498","6,533","6,454","6,480","6,611","6,621","6,563","6,460","6,636","6,746","6,972","6,800","6,665","6,751","6,722","6,743","6,816","6,879","6,828","6,878","6,992","6,971","7,059","7,059","7,080","7,193","7,234","7,340","7,325","7,326","7,369","7,391","7,464","7,468","7,423","7,358","7,214","7,116","7,104","6,990","6,976","7,055","7,143","7,143","7,152"
All industries (except unlicensed cannabis sector)  [T024] 4,"2,063,482","2,058,022","2,069,892","2,082,857","2,088,740","2,092,828","2,093,825","2,094,089","2,095,204","2,096,484","2,096,200","2,106,881","2,111,401","2,115,473","1,956,579","1,746,317","1,825,902","1,932,392","1,982,379","2,001,714","2,020,711","2,032,455","2,046,517","2,050,068","2,059,173","2,063,001","2,085,639","2,064,257","2,055,253","2,073,124","2,086,082","2,102,489","2,108,957","2,124,589","2,134,270","2,137,842","2,135,999","2,152,134","2,166,826","2,165,311","2,171,236","2,176,639","2,178,202","2,184,719","2,189,027","2,185,132","2,185,284","2,179,119","2,194,113","2,199,191","2,202,447","2,201,490","2,208,235","2,204,635","2,203,205","2,203,449","2,204,413","2,205,145"
"Agriculture, forestry, fishing and hunting  [11]","40,722","40,643","40,735","41,057","41,394","41,677","41,485","41,380","41,152","42,053","41,398","41,076","40,817","40,797","41,022","40,453","41,002","41,378","41,840","41,989","41,970","42,024","41,865","41,295","40,760","40,164","39,562","39,079","38,743","38,165","36,753","34,926","34,460","35,083","36,752","38,865","39,652","40,161","40,726","41,223","41,762","42,183","43,192","44,439","44,419","44,052","43,376","42,679","42,207","41,754","41,252","40,795","40,173","39,715","39,104","38,483","38,106","38,542"
"Mining, quarrying, and oil and gas extraction  [21]","104,311","104,574","108,150","115,746","113,172","112,082","108,073","108,615","108,206","107,697","104,786","106,732","112,816","114,744","109,136","92,163","95,825","89,783","92,881","93,030","96,218","96,862","100,679","105,191","106,040","105,266","106,029","104,348","103,914","104,574","107,284","107,653","108,240","110,798","107,926","109,012","107,218","108,473","108,479","111,642","113,082","113,567","113,953","113,769","115,151","113,420","113,911","111,299","112,799","114,855","116,175","116,674","113,067","114,478","116,812","116,531","115,195","116,354"
Utilities  [22],"46,428","46,742","46,295","45,868","45,840","45,913","45,665","45,316","45,700","46,500","46,698","46,451","45,494","45,677","45,924","45,360","45,416","46,029","46,984","45,840","44,875","45,603","45,211","45,195","44,811","44,999","44,677","43,969","44,907","46,585","45,296","45,494","45,169","45,255","44,648","45,438","47,544","46,199","46,043","46,231","45,753","45,966","46,213","47,538","46,733","45,824","45,988","46,036","45,334","45,501","45,599","45,701","45,444","44,997","44,744","44,329","44,503","44,514"
Construction  [23],"153,677","153,177","153,820","153,922","155,749","157,743","159,565","158,276","158,867","158,305","159,440","160,379","160,975","161,295","154,741","128,214","147,989","156,908","154,256","153,859","154,386","156,127","156,390","158,000","160,327","163,068","166,647","170,526","166,329","164,317","162,359","162,774","162,416","164,363","164,810","164,000","166,629","168,030","168,890","167,863","166,948","167,385","166,989","167,013","166,083","167,323","167,296","165,795","167,070","166,407","166,619","166,876","165,190","164,823","164,884","165,219","166,726","166,552"
Manufacturing  [31-33],"213,988","212,908","214,190","212,829","217,024","214,707","213,667","213,450","213,408","212,314","213,025","211,870","205,835","208,549","191,945","153,978","169,312","190,699","199,105","202,472","204,176","204,361","207,613","206,575","209,576","205,456","208,535","203,940","202,926","206,561","205,193","206,706","203,946","208,965","210,425","210,979","213,454","215,118","218,007","216,589","214,883","217,161","214,462","214,368","215,211","212,456","212,217","210,518","212,934","213,826","214,264","212,891","216,774","215,384","212,882","211,901","213,155","211,801"
Wholesale trade  [41],"109,708","109,938","111,805","112,782","112,465","114,337","114,696","112,249","114,536","113,318","112,768","115,094","113,119","114,166","108,507","89,276","94,271","111,745","117,570","118,065","118,855","118,888","119,227","118,691","120,164","118,025","121,005","120,570","118,522","116,010","115,537","116,074","117,882","119,021","122,420","123,250","123,725","121,937","120,863","118,804","119,490","118,914","118,303","118,889","118,685","118,617","117,655","116,774","119,785","119,590","118,155","116,514","119,731","117,355","118,164","119,179","118,645","117,828"
Retail trade  [44-45],"106,801","106,205","107,135","106,868","106,953","107,565","107,506","107,643","107,517","106,455","106,881","108,787","107,448","106,599","95,554","79,221","92,512","108,103","107,631","107,233","110,193","111,557","112,716","109,449","106,754","113,382","116,439","109,613","105,818","111,258","111,211","113,581","112,985","113,922","114,414","111,443","112,587","113,009","114,787","113,584","114,315","113,533","113,342","114,045","113,727","113,087","112,066","113,090","114,466","114,790","114,194","115,006","115,487","115,188","115,179","114,834","114,902","116,260"
Transportation and warehousing  [48-49],"95,418","94,107","94,598","95,634","96,807","96,606","98,048","98,950","98,263","98,806","99,110","101,925","100,114","98,253","82,538","58,498","59,513","65,251","67,909","68,287","69,881","71,315","73,214","74,403","73,524","72,337","73,156","72,455","71,929","72,205","75,218","77,890","78,922","79,703","80,907","81,402","77,482","80,493","84,028","84,975","86,464","87,411","86,687","86,952","88,163","88,748","89,057","87,544","89,171","89,458","90,217","90,510","90,715","90,386","90,230","90,938","91,093","90,955"
Information and cultural industries  [51],"66,855","67,070","67,436","68,055","68,369","68,862","68,995","69,409","69,507","70,220","70,624","71,146","70,324","70,444","66,607","64,720","64,856","66,124","66,979","68,398","68,550","68,999","69,057","69,250","69,582","69,524","69,851","69,766","70,073","70,349","71,147","72,360","72,157","72,542","72,729","73,312","73,293","73,849","73,743","73,583","73,791","73,840","74,162","74,363","74,539","74,144","74,113","73,620","73,828","74,199","74,182","74,446","74,459","74,167","73,368","73,066","72,902","72,732"
Finance and insurance  [52],"140,611","139,193","139,951","140,844","141,007","141,186","141,857","142,782","142,980","143,846","144,281","145,486","145,058","146,136","140,866","143,946","144,027","146,234","147,021","147,455","148,003","150,153","151,352","151,541","151,911","152,303","152,494","151,204","151,246","152,148","153,897","155,529","156,511","156,268","156,454","156,799","157,155","156,994","157,757","156,964","156,736","155,835","156,404","156,136","156,508","155,661","156,663","156,291","156,650","156,837","157,441","157,038","157,277","157,226","156,831","157,194","156,738","156,876"
Real estate and rental and leasing  [53],"268,526","267,311","267,814","269,120","270,621","271,624","272,839","273,387","274,082","274,595","274,635","274,694","274,185","274,973","271,137","262,533","266,199","273,641","279,375","280,980","282,703","281,717","281,325","283,844","284,978","285,412","285,700","285,542","284,974","284,917","285,286","285,737","286,612","288,396","288,637","288,677","289,537","290,222","288,386","287,078","286,914","286,657","286,840","287,020","287,074","286,912","286,966","287,366","287,826","288,489","289,301","290,634","291,813","292,570","292,627","292,520","292,327","291,798"
"Professional, scientific and technical services  [54]","128,664","128,736","128,872","129,753","129,581","130,481","131,449","132,258","132,176","132,717","133,652","134,069","133,749","134,983","120,222","119,181","120,626","125,080","128,361","130,616","132,637","134,798","136,214","135,745","137,209","137,319","137,758","137,233","137,209","137,880","139,649","140,949","143,145","144,204","145,006","146,099","147,711","149,177","150,506","150,765","151,552","151,923","153,677","154,622","155,818","155,637","155,198","155,742","156,572","156,985","157,456","157,908","158,264","158,381","157,442","157,531","157,253","156,913"
Management of companies and enterprises  [55],"6,141","6,031","5,855","5,833","5,729","5,660","5,490","5,335","5,154","5,014","4,864","4,762","4,523","4,430","4,268","4,205","4,102","4,004","3,819","3,667","3,536","3,439","3,321","3,222","3,137","3,094","3,008","2,948","2,902","2,830","2,813","2,767","2,742","2,657","2,581","2,517","2,452","2,407","2,376","2,268","2,170","2,096","2,050","1,995","1,934","1,875","1,810","1,743","1,636","1,611","1,575","1,520","1,489","1,423","1,374","1,328","1,240","1,209"
"Administrative and support, waste management and remediation services  [56]","59,197","58,919","58,705","58,442","58,318","58,388","58,649","58,792","58,868","59,067","59,170","59,193","58,663","58,733","48,094","41,281","42,467","47,625","48,646","50,354","51,480","52,249","52,664","52,976","53,487","52,531","52,403","52,261","51,798","51,848","52,390","53,048","53,173","53,502","53,602","54,205","54,676","55,247","55,479","55,184","55,375","55,497","55,708","55,841","55,954","55,630","55,776","55,681","55,872","56,102","55,886","56,214","56,057","55,884","55,625","55,519","55,560","55,464"
Educational services  [61],"113,762","113,849","114,342","114,459","114,510","114,493","115,162","115,094","115,395","115,455","115,439","115,808","116,027","115,589","106,041","96,218","103,389","105,577","110,132","112,821","113,620","113,813","114,068","114,637","115,077","115,481","117,246","112,288","115,117","116,133","117,517","118,249","118,311","118,498","118,744","118,819","118,051","118,060","117,792","118,349","118,968","119,797","119,867","119,838","120,179","120,303","120,733","121,139","121,299","121,917","121,992","121,844","122,091","122,046","122,329","122,672","122,978","123,280"
Health care and social assistance  [62],"154,859","155,013","155,071","155,239","155,275","155,874","156,389","157,049","157,181","157,694","158,462","159,318","159,024","160,088","149,634","136,984","141,708","150,327","155,114","156,925","158,085","159,517","160,343","160,851","161,700","162,510","163,493","164,358","165,256","166,087","166,968","167,378","167,475","167,518","167,505","167,732","167,636","168,526","168,786","168,796","168,883","169,089","169,648","169,768","170,690","171,111","171,437","171,658","172,092","172,578","172,907","173,215","173,564","173,848","174,028","174,515","174,956","175,418"
"Arts, entertainment and recreation  [71]","16,442","16,449","16,634","16,551","16,589","16,664","16,673","16,662","16,817","17,038","16,953","17,108","17,029","17,230","11,925","7,037","6,943","7,608","9,162","9,966","10,109","10,375","10,244","10,220","9,898","9,955","10,080","9,450","9,419","10,097","11,047","12,003","12,539","13,288","13,915","12,889","10,943","11,986","13,950","14,909","15,521","16,074","16,077","16,424","16,557","16,758","16,960","17,177","17,536","16,928","17,088","17,233","17,387","17,284","17,342","17,173","16,755","16,810"
Accommodation and food services  [72],"48,245","48,152","48,487","48,420","48,440","48,638","48,640","48,717","48,496","48,514","48,859","49,028","48,187","47,568","30,701","17,731","20,567","25,510","30,233","32,908","32,845","29,961","30,359","27,410","28,255","29,304","33,267","29,400","28,254","33,465","37,440","40,108","39,903","39,184","40,179","39,285","33,810","38,267","41,510","41,838","42,768","43,181","43,546","43,988","43,977","44,088","43,649","43,642","45,066","44,865","44,596","44,699","44,383","43,828","44,279","43,843","44,169","44,553"
Other services (except public administration)  [81],"41,654","41,613","41,694","41,806","41,751","41,743","41,756","41,676","41,659","41,622","41,644","41,674","41,175","41,326","36,893","30,191","32,012","34,201","36,730","37,624","38,259","38,604","38,754","38,723","38,707","38,831","38,812","38,852","38,864","39,098","39,997","40,463","40,889","41,289","41,503","41,771","42,160","42,472","42,728","43,083","43,411","43,692","43,922","44,144","44,362","44,343","44,373","44,390","44,489","44,527","44,617","44,844","44,800","44,733","44,660","44,601","44,552","44,485"
Public administration  [91],"149,861","149,864","150,064","150,090","150,287","150,268","150,581","150,691","150,386","151,055","151,071","151,698","152,526","153,068","145,130","141,249","141,711","144,397","147,144","148,090","149,730","151,070","151,284","152,269","152,473","152,891","154,409","154,685","154,511","155,701","155,955","154,978","156,961","155,813","156,381","156,742","156,057","157,126","157,196","157,156","158,125","158,586","158,996","159,501","159,142","160,439","161,106","161,486","162,250","162,907","163,661","161,430","163,868","164,746","165,565","166,070","166,305","166,689"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Footnotes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Aggregates are not always equal to the sum of their components.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"At the lowest level of detail, it may not be possible to produce a homogeneous series from 1997 to the present. Only industries and certain aggregates that provide good continuity back to 1997 have data from 1997 to 2006.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"Effective November 30, 2023, the data is presented on a 2017 reference year basis.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"The alphanumeric code appearing in square brackets beside the industry title represents the identification code of an aggregation of NAICS industries, whose definition is included in the full classification provided in the definitions, data sources and methods for the statistical program <a href=https://www23.statcan.gc.ca/imdb/p2SV.pl?Function=getSurvey&SDDS=1301"" rel=""external noopener noreferrer"" target=""_blank"">1301 - Gross domestic product by Industry - National (Monthly) (opens new window)</a>.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"How to cite: Statistics Canada. Table 36-10-0434-01  Gross domestic product (GDP) at basic prices, by industry, monthly (x 1,000,000)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3610043401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
